product_id,sku,name,dimensions,category,description,tags,base_price
,FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-EARL-GREY,,,Home & Living,"The all new fwoomp bean bag in a fusion of fabrics - a stretchy seating area, contained by a durable frame that creates a one-of-a-kind seating experience. Under the fwoompy hood is an elastic and durable inner bag - the famous dooble™ layer - which means your doob bean bag is more durable, safer, and easier to clean. The filled option comes with smoovflux™, which makes the fwoomp smoother to the touch.  

• Stretchy STREXX™ fabric seat for greater comfort
• Durable DRYXX™ fabric frame for support
• Removable outer cover
• Filled with smoovflux™ fine pellets for a smoother experience
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: DRYXX™ (polyester and polyurethane composite) and STREXX™(polyester, spandex blend) cover; Spandex inner bag
Cleaning: Hand wash or rinse. DRYXX portion can be wiped with damp cloth.",,
,FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-HUMMUS,,,Home & Living,"The all new fwoomp bean bag in a fusion of fabrics - a stretchy seating area, contained by a durable frame that creates a one-of-a-kind seating experience. Under the fwoompy hood is an elastic and durable inner bag - the famous dooble™ layer - which means your doob bean bag is more durable, safer, and easier to clean. The filled option comes with smoovflux™, which makes the fwoomp smoother to the touch.  

• Stretchy STREXX™ fabric seat for greater comfort
• Durable DRYXX™ fabric frame for support
• Removable outer cover
• Filled with smoovflux™ fine pellets for a smoother experience
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: DRYXX™ (polyester and polyurethane composite) and STREXX™(polyester, spandex blend) cover; Spandex inner bag
Cleaning: Hand wash or rinse. DRYXX portion can be wiped with damp cloth.",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-APPLE,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-APRICOT,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-ASH,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CARIBBEAN,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CANDY,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CHILI,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-JET,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-PEWTER,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-SAGE,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-VIOLET,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-WHEAT,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-WINE,,,Home & Living,"Half DRYXX™. Half synthetic leather. All dumpling bean bag lounger. Sit on either side, or down the middle, or even upright.

• Water-repellent cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) and synthetic leather cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KIRI,,,Home & Living,"The Senchaise is a chair you take refuge in, from the stresses and anxieties of modern living. Designed using principles from pressure and sensory therapy, the Senchaise promotes the production of hormones that are linked to mental health and wellbeing. Sink into the Senchaise for twenty minutes or more to help wind down. 

Unlike bulky therapy devices, the Senchaise is designed to be furniture, to fit into your home without sticking out or taking up precious space. 

• Suspension Design, Weighted Flaps
• Floating Design, Versatile Usage
• Gentle Design, All-round comfort
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-THE-SENCHAISE---HUGGING-CHAIR-SUISEKI,,,Home & Living,"The Senchaise is a chair you take refuge in, from the stresses and anxieties of modern living. Designed using principles from pressure and sensory therapy, the Senchaise promotes the production of hormones that are linked to mental health and wellbeing. Sink into the Senchaise for twenty minutes or more to help wind down. 

Unlike bulky therapy devices, the Senchaise is designed to be furniture, to fit into your home without sticking out or taking up precious space. 

• Suspension Design, Weighted Flaps
• Floating Design, Versatile Usage
• Gentle Design, All-round comfort
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-THE-SENCHAISE---HUGGING-CHAIR-SAKURA,,,Home & Living,"The Senchaise is a chair you take refuge in, from the stresses and anxieties of modern living. Designed using principles from pressure and sensory therapy, the Senchaise promotes the production of hormones that are linked to mental health and wellbeing. Sink into the Senchaise for twenty minutes or more to help wind down. 

Unlike bulky therapy devices, the Senchaise is designed to be furniture, to fit into your home without sticking out or taking up precious space. 

• Suspension Design, Weighted Flaps
• Floating Design, Versatile Usage
• Gentle Design, All-round comfort
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KURO,,,Home & Living,"The Senchaise is a chair you take refuge in, from the stresses and anxieties of modern living. Designed using principles from pressure and sensory therapy, the Senchaise promotes the production of hormones that are linked to mental health and wellbeing. Sink into the Senchaise for twenty minutes or more to help wind down. 

Unlike bulky therapy devices, the Senchaise is designed to be furniture, to fit into your home without sticking out or taking up precious space. 

• Suspension Design, Weighted Flaps
• Floating Design, Versatile Usage
• Gentle Design, All-round comfort
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KASUMI,,,Home & Living,"The Senchaise is a chair you take refuge in, from the stresses and anxieties of modern living. Designed using principles from pressure and sensory therapy, the Senchaise promotes the production of hormones that are linked to mental health and wellbeing. Sink into the Senchaise for twenty minutes or more to help wind down. 

Unlike bulky therapy devices, the Senchaise is designed to be furniture, to fit into your home without sticking out or taking up precious space. 

• Suspension Design, Weighted Flaps
• Floating Design, Versatile Usage
• Gentle Design, All-round comfort
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-DORAYA---FOOTSTOOL-KIRI,,,Home & Living,"The Doraya is a delightful footstool, inspired by pancakes filled with red bean paste. Slip your feet snugly into the Doraya to help unwind. 

Flip the Doraya on its side to use it as a regular footstool, or even to sit on.

• All-round Comfort
• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-DORAYA---FOOTSTOOL-SUISEKI,,,Home & Living,"The Doraya is a delightful footstool, inspired by pancakes filled with red bean paste. Slip your feet snugly into the Doraya to help unwind. 

Flip the Doraya on its side to use it as a regular footstool, or even to sit on.

• All-round Comfort
• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-DORAYA---FOOTSTOOL-SAKURA,,,Home & Living,"The Doraya is a delightful footstool, inspired by pancakes filled with red bean paste. Slip your feet snugly into the Doraya to help unwind. 

Flip the Doraya on its side to use it as a regular footstool, or even to sit on.

• All-round Comfort
• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-DORAYA---FOOTSTOOL-KURO,,,Home & Living,"The Doraya is a delightful footstool, inspired by pancakes filled with red bean paste. Slip your feet snugly into the Doraya to help unwind. 

Flip the Doraya on its side to use it as a regular footstool, or even to sit on.

• All-round Comfort
• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-DORAYA---FOOTSTOOL-KASUMI,,,Home & Living,"The Doraya is a delightful footstool, inspired by pancakes filled with red bean paste. Slip your feet snugly into the Doraya to help unwind. 

Flip the Doraya on its side to use it as a regular footstool, or even to sit on.

• All-round Comfort
• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-MOCHI---CUSHION-KIRI,,,Home & Living,"The Mochi is a minimalist yet adorable cushion that is specially designed to hug you back. Slip your arms into the mochi’s centre to help relax. 

The Mochi can also be used as a back cushion or a headrest.

• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-MOCHI---CUSHION-SUISEKI,,,Home & Living,"The Mochi is a minimalist yet adorable cushion that is specially designed to hug you back. Slip your arms into the mochi’s centre to help relax. 

The Mochi can also be used as a back cushion or a headrest.

• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-MOCHI---CUSHION-SAKURA,,,Home & Living,"The Mochi is a minimalist yet adorable cushion that is specially designed to hug you back. Slip your arms into the mochi’s centre to help relax. 

The Mochi can also be used as a back cushion or a headrest.

• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-MOCHI---CUSHION-KURO,,,Home & Living,"The Mochi is a minimalist yet adorable cushion that is specially designed to hug you back. Slip your arms into the mochi’s centre to help relax. 

The Mochi can also be used as a back cushion or a headrest.

• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
,HUGGU-MOCHI---CUSHION-KASUMI,,,Home & Living,"The Mochi is a minimalist yet adorable cushion that is specially designed to hug you back. Slip your arms into the mochi’s centre to help relax. 

The Mochi can also be used as a back cushion or a headrest.

• Versatile Usage
• Simple Design - no mechanical or electronic parts
• Smooth Texture
• Double-layered
• Made in Singapore",,
